n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
251,-87.1926,[4.9481 -4.9872 ],[0.0005 -0.0015 ],0.0016,[-0.0598 0.1993 ],0.2081,0.0077,127,0.0001
252,-87.1928,[4.9485 -4.9887 ],[0.0009 0.0002 ],0.0009,[-0.3300 -0.0790 ],0.3394,0.0027,127,0.0001
253,-87.1930,[4.9494 -4.9885 ],[0.0003 -0.0014 ],0.0014,[-0.0483 0.2000 ],0.2058,0.0070,127,0.0001
254,-87.1931,[4.9498 -4.9899 ],[0.0009 0.0002 ],0.0009,[-0.3158 -0.0745 ],0.3245,0.0027,127,0.0001
255,-87.1933,[4.9506 -4.9897 ],[0.0003 -0.0014 ],0.0014,[-0.0470 0.1917 ],0.1974,0.0071,127,0.0001
256,-87.1934,[4.9509 -4.9911 ],[0.0008 0.0002 ],0.0008,[-0.3054 -0.0734 ],0.3141,0.0027,127,0.0001
257,-87.1936,[4.9518 -4.9909 ],[0.0003 -0.0013 ],0.0013,[-0.0445 0.1850 ],0.1902,0.0070,127,0.0001
258,-87.1937,[4.9521 -4.9922 ],[0.0008 0.0002 ],0.0008,[-0.2922 -0.0692 ],0.3003,0.0027,127,0.0001
259,-87.1938,[4.9529 -4.9920 ],[0.0003 -0.0013 ],0.0013,[-0.0433 0.1773 ],0.1825,0.0071,127,0.0001
260,-87.1939,[4.9532 -4.9932 ],[0.0007 0.0002 ],0.0008,[-0.2826 -0.0683 ],0.2907,0.0026,127,0.0001
261,-87.1940,[4.9539 -4.9931 ],[0.0004 -0.0013 ],0.0013,[-0.0489 0.1632 ],0.1703,0.0077,127,0.0001
262,-87.1942,[4.9543 -4.9943 ],[0.0007 0.0002 ],0.0008,[-0.2704 -0.0649 ],0.2780,0.0027,127,0.0001
263,-87.1943,[4.9550 -4.9942 ],[0.0003 -0.0012 ],0.0012,[-0.0395 0.1638 ],0.1685,0.0070,127,0.0001
264,-87.1944,[4.9553 -4.9953 ],[0.0007 0.0002 ],0.0007,[-0.2587 -0.0611 ],0.2658,0.0027,127,0.0001
265,-87.1945,[4.9560 -4.9951 ],[0.0003 -0.0011 ],0.0012,[-0.0384 0.1570 ],0.1616,0.0071,127,0.0001
266,-87.1946,[4.9563 -4.9963 ],[0.0007 0.0002 ],0.0007,[-0.2502 -0.0603 ],0.2573,0.0026,127,0.0001
267,-87.1946,[4.9569 -4.9961 ],[0.0003 -0.0011 ],0.0012,[-0.0434 0.1445 ],0.1509,0.0077,127,0.0001
268,-87.1947,[4.9573 -4.9972 ],[0.0006 0.0002 ],0.0007,[-0.2394 -0.0573 ],0.2461,0.0027,127,0.0001
269,-87.1948,[4.9579 -4.9971 ],[0.0002 -0.0010 ],0.0010,[-0.0350 0.1450 ],0.1492,0.0070,127,0.0001
270,-87.1949,[4.9582 -4.9981 ],[0.0006 0.0001 ],0.0006,[-0.2290 -0.0540 ],0.2353,0.0027,127,0.0001
271,-87.1950,[4.9588 -4.9979 ],[0.0002 -0.0010 ],0.0010,[-0.0341 0.1390 ],0.1432,0.0071,127,0.0001
272,-87.1950,[4.9590 -4.9989 ],[0.0006 0.0001 ],0.0006,[-0.2215 -0.0533 ],0.2278,0.0026,127,0.0001
273,-87.1951,[4.9596 -4.9988 ],[0.0003 -0.0010 ],0.0010,[-0.0385 0.1280 ],0.1336,0.0077,127,0.0001
274,-87.1952,[4.9599 -4.9998 ],[0.0006 0.0001 ],0.0006,[-0.2119 -0.0506 ],0.2179,0.0027,127,0.0001
275,-87.1953,[4.9605 -4.9996 ],[0.0002 -0.0009 ],0.0009,[-0.0311 0.1284 ],0.1322,0.0070,127,0.0001
276,-87.1953,[4.9607 -5.0005 ],[0.0005 0.0001 ],0.0006,[-0.2028 -0.0477 ],0.2083,0.0027,127,0.0001
277,-87.1954,[4.9612 -5.0004 ],[0.0002 -0.0009 ],0.0009,[-0.0303 0.1231 ],0.1268,0.0071,127,0.0001
278,-87.1954,[4.9614 -5.0013 ],[0.0005 0.0001 ],0.0005,[-0.1961 -0.0471 ],0.2016,0.0027,127,0.0001
279,-87.1955,[4.9620 -5.0012 ],[0.0002 -0.0008 ],0.0009,[-0.0286 0.1188 ],0.1222,0.0070,127,0.0001
280,-87.1955,[4.9622 -5.0020 ],[0.0005 0.0001 ],0.0005,[-0.1876 -0.0444 ],0.1928,0.0027,127,0.0001
281,-87.1956,[4.9627 -5.0019 ],[0.0002 -0.0008 ],0.0008,[-0.0279 0.1139 ],0.1172,0.0071,127,0.0001
282,-87.1956,[4.9629 -5.0027 ],[0.0005 0.0001 ],0.0005,[-0.1814 -0.0437 ],0.1866,0.0026,127,0.0001
283,-87.1957,[4.9634 -5.0026 ],[0.0002 -0.0008 ],0.0008,[-0.0314 0.1048 ],0.1094,0.0077,127,0.0001
284,-87.1957,[4.9636 -5.0034 ],[0.0005 0.0001 ],0.0005,[-0.1736 -0.0416 ],0.1785,0.0027,127,0.0001
285,-87.1958,[4.9641 -5.0033 ],[0.0002 -0.0007 ],0.0008,[-0.0254 0.1052 ],0.1082,0.0070,127,0.0001
286,-87.1958,[4.9642 -5.0040 ],[0.0004 0.0001 ],0.0005,[-0.1661 -0.0392 ],0.1707,0.0027,127,0.0001
287,-87.1959,[4.9647 -5.0039 ],[0.0002 -0.0007 ],0.0007,[-0.0247 0.1008 ],0.1038,0.0071,127,0.0001
288,-87.1959,[4.9649 -5.0046 ],[0.0004 0.0001 ],0.0004,[-0.1606 -0.0386 ],0.1652,0.0026,127,0.0001
289,-87.1959,[4.9653 -5.0045 ],[0.0002 -0.0007 ],0.0008,[-0.0279 0.0928 ],0.0969,0.0077,127,0.0001
290,-87.1960,[4.9655 -5.0053 ],[0.0004 0.0001 ],0.0004,[-0.1537 -0.0367 ],0.1580,0.0027,127,0.0001
291,-87.1960,[4.9659 -5.0052 ],[0.0002 -0.0007 ],0.0007,[-0.0225 0.0932 ],0.0958,0.0070,127,0.0001
292,-87.1960,[4.9661 -5.0058 ],[0.0004 0.0001 ],0.0004,[-0.1471 -0.0346 ],0.1511,0.0027,127,0.0001
293,-87.1961,[4.9665 -5.0057 ],[0.0002 -0.0006 ],0.0007,[-0.0219 0.0893 ],0.0920,0.0071,127,0.0001
294,-87.1961,[4.9666 -5.0064 ],[0.0004 0.0001 ],0.0004,[-0.1422 -0.0341 ],0.1462,0.0027,127,0.0001
295,-87.1961,[4.9670 -5.0063 ],[0.0001 -0.0006 ],0.0006,[-0.0208 0.0861 ],0.0886,0.0070,127,0.0001
296,-87.1962,[4.9672 -5.0069 ],[0.0004 0.0001 ],0.0004,[-0.1361 -0.0322 ],0.1398,0.0027,127,0.0001
297,-87.1962,[4.9675 -5.0068 ],[0.0001 -0.0006 ],0.0006,[-0.0202 0.0826 ],0.0850,0.0071,127,0.0001
298,-87.1962,[4.9677 -5.0074 ],[0.0003 0.0001 ],0.0004,[-0.1316 -0.0317 ],0.1353,0.0026,127,0.0001
299,-87.1962,[4.9680 -5.0073 ],[0.0002 -0.0006 ],0.0006,[-0.0228 0.0760 ],0.0793,0.0077,127,0.0001
300,-87.1963,[4.9682 -5.0079 ],[0.0003 0.0001 ],0.0003,[-0.1259 -0.0302 ],0.1295,0.0027,127,0.0001
301,-87.1963,[4.9685 -5.0078 ],[0.0001 -0.0005 ],0.0006,[-0.0184 0.0763 ],0.0785,0.0070,127,0.0001
302,-87.1963,[4.9687 -5.0083 ],[0.0003 0.0001 ],0.0003,[-0.1205 -0.0284 ],0.1238,0.0027,127,0.0001
303,-87.1963,[4.9690 -5.0082 ],[0.0001 -0.0005 ],0.0005,[-0.0179 0.0731 ],0.0753,0.0071,127,0.0001
304,-87.1964,[4.9691 -5.0088 ],[0.0003 0.0001 ],0.0003,[-0.1165 -0.0280 ],0.1198,0.0026,127,0.0001
305,-87.1964,[4.9694 -5.0087 ],[0.0002 -0.0005 ],0.0005,[-0.0202 0.0673 ],0.0703,0.0077,127,0.0001
306,-87.1964,[4.9696 -5.0092 ],[0.0003 0.0001 ],0.0003,[-0.1115 -0.0266 ],0.1146,0.0027,127,0.0001
307,-87.1964,[4.9699 -5.0091 ],[0.0001 -0.0005 ],0.0005,[-0.0163 0.0676 ],0.0695,0.0070,127,0.0001
308,-87.1964,[4.9700 -5.0096 ],[0.0003 0.0001 ],0.0003,[-0.1066 -0.0251 ],0.1096,0.0027,127,0.0001
309,-87.1964,[4.9703 -5.0096 ],[0.0001 -0.0005 ],0.0005,[-0.0159 0.0648 ],0.0667,0.0071,127,0.0001
310,-87.1965,[4.9704 -5.0100 ],[0.0003 0.0001 ],0.0003,[-0.1031 -0.0248 ],0.1061,0.0027,127,0.0001
311,-87.1965,[4.9707 -5.0099 ],[0.0001 -0.0004 ],0.0005,[-0.0150 0.0625 ],0.0643,0.0070,127,0.0001
312,-87.1965,[4.9708 -5.0104 ],[0.0003 0.0001 ],0.0003,[-0.0987 -0.0233 ],0.1014,0.0027,127,0.0001
313,-87.1965,[4.9710 -5.0103 ],[0.0001 -0.0004 ],0.0004,[-0.0146 0.0599 ],0.0616,0.0071,127,0.0001
314,-87.1965,[4.9711 -5.0108 ],[0.0002 0.0001 ],0.0003,[-0.0954 -0.0230 ],0.0982,0.0026,127,0.0001
315,-87.1965,[4.9714 -5.0107 ],[0.0001 -0.0004 ],0.0004,[-0.0165 0.0551 ],0.0575,0.0077,127,0.0001
316,-87.1965,[4.9715 -5.0111 ],[0.0002 0.0001 ],0.0003,[-0.0913 -0.0219 ],0.0939,0.0027,127,0.0001
317,-87.1966,[4.9718 -5.0111 ],[0.0001 -0.0004 ],0.0004,[-0.0134 0.0553 ],0.0569,0.0070,127,0.0001
318,-87.1966,[4.9719 -5.0114 ],[0.0002 0.0001 ],0.0002,[-0.0874 -0.0206 ],0.0898,0.0027,127,0.0001
319,-87.1966,[4.9721 -5.0114 ],[0.0001 -0.0004 ],0.0004,[-0.0130 0.0530 ],0.0546,0.0071,127,0.0001
320,-87.1966,[4.9722 -5.0118 ],[0.0002 0.0001 ],0.0002,[-0.0845 -0.0203 ],0.0869,0.0026,127,0.0001
321,-87.1966,[4.9724 -5.0117 ],[0.0001 -0.0004 ],0.0004,[-0.0147 0.0488 ],0.0510,0.0077,127,0.0001
