n,f(x),x,p,||p||,gradient,||gradient||,alpha,k,eps
367,-87.1968,[4.9772 -5.0165 ],[0.0000 -0.0001 ],0.0001,[-0.0050 0.0202 ],0.0208,0.0071,127,0.0001
368,-87.1968,[4.9772 -5.0167 ],[0.0001 0.0000 ],0.0001,[-0.0322 -0.0078 ],0.0331,0.0026,127,0.0001
369,-87.1968,[4.9773 -5.0166 ],[0.0000 -0.0001 ],0.0002,[-0.0056 0.0186 ],0.0194,0.0077,127,0.0001
370,-87.1968,[4.9773 -5.0168 ],[0.0001 0.0000 ],0.0001,[-0.0308 -0.0074 ],0.0317,0.0027,127,0.0001
371,-87.1968,[4.9774 -5.0168 ],[0.0000 -0.0001 ],0.0001,[-0.0045 0.0187 ],0.0192,0.0070,127,0.0001
372,-87.1968,[4.9775 -5.0169 ],[0.0001 0.0000 ],0.0001,[-0.0295 -0.0070 ],0.0303,0.0027,127,0.0001
373,-87.1968,[4.9775 -5.0169 ],[0.0000 -0.0001 ],0.0001,[-0.0044 0.0179 ],0.0184,0.0071,127,0.0001
374,-87.1968,[4.9776 -5.0170 ],[0.0001 0.0000 ],0.0001,[-0.0285 -0.0069 ],0.0293,0.0027,127,0.0001
375,-87.1968,[4.9776 -5.0170 ],[0.0000 -0.0001 ],0.0001,[-0.0042 0.0173 ],0.0178,0.0070,127,0.0001
376,-87.1968,[4.9777 -5.0171 ],[0.0001 0.0000 ],0.0001,[-0.0273 -0.0065 ],0.0281,0.0027,127,0.0001
377,-87.1968,[4.9778 -5.0171 ],[0.0000 -0.0001 ],0.0001,[-0.0040 0.0166 ],0.0171,0.0071,127,0.0001
378,-87.1968,[4.9778 -5.0172 ],[0.0001 0.0000 ],0.0001,[-0.0264 -0.0064 ],0.0272,0.0026,127,0.0001
379,-87.1968,[4.9778 -5.0172 ],[0.0000 -0.0001 ],0.0001,[-0.0046 0.0152 ],0.0159,0.0077,127,0.0001
380,-87.1968,[4.9779 -5.0173 ],[0.0001 0.0000 ],0.0001,[-0.0253 -0.0061 ],0.0260,0.0027,127,0.0001
381,-87.1968,[4.9780 -5.0173 ],[0.0000 -0.0001 ],0.0001,[-0.0037 0.0153 ],0.0157,0.0070,127,0.0001
382,-87.1968,[4.9780 -5.0174 ],[0.0001 0.0000 ],0.0001,[-0.0242 -0.0057 ],0.0248,0.0027,127,0.0001
383,-87.1968,[4.9780 -5.0174 ],[0.0000 -0.0001 ],0.0001,[-0.0036 0.0147 ],0.0151,0.0071,127,0.0001
384,-87.1968,[4.9781 -5.0175 ],[0.0001 0.0000 ],0.0001,[-0.0234 -0.0056 ],0.0240,0.0026,127,0.0001
385,-87.1968,[4.9781 -5.0175 ],[0.0000 -0.0001 ],0.0001,[-0.0041 0.0135 ],0.0141,0.0077,127,0.0001
386,-87.1968,[4.9782 -5.0176 ],[0.0001 0.0000 ],0.0001,[-0.0224 -0.0054 ],0.0230,0.0027,127,0.0001
387,-87.1968,[4.9782 -5.0176 ],[0.0000 -0.0001 ],0.0001,[-0.0033 0.0136 ],0.0139,0.0070,127,0.0001
388,-87.1968,[4.9782 -5.0177 ],[0.0001 0.0000 ],0.0001,[-0.0214 -0.0050 ],0.0220,0.0027,127,0.0001
389,-87.1968,[4.9783 -5.0177 ],[0.0000 -0.0001 ],0.0001,[-0.0032 0.0130 ],0.0134,0.0071,127,0.0001
390,-87.1968,[4.9783 -5.0177 ],[0.0001 0.0000 ],0.0001,[-0.0207 -0.0050 ],0.0213,0.0027,127,0.0001
391,-87.1968,[4.9784 -5.0177 ],[0.0000 -0.0001 ],0.0001,[-0.0030 0.0125 ],0.0129,0.0070,127,0.0001
392,-87.1968,[4.9784 -5.0178 ],[0.0001 0.0000 ],0.0001,[-0.0198 -0.0047 ],0.0203,0.0027,127,0.0001
393,-87.1968,[4.9785 -5.0178 ],[0.0000 -0.0001 ],0.0001,[-0.0029 0.0120 ],0.0124,0.0071,127,0.0001
394,-87.1968,[4.9785 -5.0179 ],[0.0000 0.0000 ],0.0001,[-0.0191 -0.0046 ],0.0197,0.0026,127,0.0001
395,-87.1968,[4.9785 -5.0179 ],[0.0000 -0.0001 ],0.0001,[-0.0033 0.0111 ],0.0115,0.0077,127,0.0001
396,-87.1968,[4.9786 -5.0180 ],[0.0000 0.0000 ],0.0001,[-0.0183 -0.0044 ],0.0188,0.0027,127,0.0001
397,-87.1968,[4.9786 -5.0180 ],[0.0000 -0.0001 ],0.0001,[-0.0027 0.0111 ],0.0114,0.0070,127,0.0001
398,-87.1968,[4.9786 -5.0180 ],[0.0000 0.0000 ],0.0000,[-0.0175 -0.0041 ],0.0180,0.0027,127,0.0001
399,-87.1968,[4.9787 -5.0180 ],[0.0000 -0.0001 ],0.0001,[-0.0026 0.0106 ],0.0110,0.0071,127,0.0001
400,-87.1968,[4.9787 -5.0181 ],[0.0000 0.0000 ],0.0000,[-0.0169 -0.0041 ],0.0174,0.0026,127,0.0001
401,-87.1968,[4.9787 -5.0181 ],[0.0000 -0.0001 ],0.0001,[-0.0029 0.0098 ],0.0102,0.0077,127,0.0001
402,-87.1968,[4.9788 -5.0182 ],[0.0000 0.0000 ],0.0000,[-0.0162 -0.0039 ],0.0167,0.0027,127,0.0001
403,-87.1968,[4.9788 -5.0182 ],[0.0000 -0.0001 ],0.0001,[-0.0024 0.0098 ],0.0101,0.0070,127,0.0001
404,-87.1968,[4.9788 -5.0182 ],[0.0000 0.0000 ],0.0000,[-0.0155 -0.0037 ],0.0159,0.0027,127,0.0001
405,-87.1968,[4.9789 -5.0182 ],[0.0000 -0.0001 ],0.0001,[-0.0023 0.0094 ],0.0097,0.0071,127,0.0001
406,-87.1968,[4.9789 -5.0183 ],[0.0000 0.0000 ],0.0000,[-0.0150 -0.0036 ],0.0154,0.0027,127,0.0001
407,-87.1968,[4.9789 -5.0183 ],[0.0000 -0.0001 ],0.0001,[-0.0022 0.0091 ],0.0093,0.0070,127,0.0001
408,-87.1968,[4.9789 -5.0183 ],[0.0000 0.0000 ],0.0000,[-0.0144 -0.0034 ],0.0148,0.0027,127,0.0001
409,-87.1968,[4.9790 -5.0183 ],[0.0000 -0.0001 ],0.0001,[-0.0021 0.0087 ],0.0090,0.0071,127,0.0001
410,-87.1968,[4.9790 -5.0184 ],[0.0000 0.0000 ],0.0000,[-0.0139 -0.0034 ],0.0143,0.0026,127,0.0001
411,-87.1968,[4.9790 -5.0184 ],[0.0000 -0.0001 ],0.0001,[-0.0024 0.0080 ],0.0084,0.0077,127,0.0001
412,-87.1968,[4.9790 -5.0184 ],[0.0000 0.0000 ],0.0000,[-0.0133 -0.0032 ],0.0137,0.0027,127,0.0001
413,-87.1968,[4.9791 -5.0184 ],[0.0000 -0.0001 ],0.0001,[-0.0019 0.0080 ],0.0083,0.0070,127,0.0001
414,-87.1968,[4.9791 -5.0185 ],[0.0000 0.0000 ],0.0000,[-0.0127 -0.0030 ],0.0131,0.0027,127,0.0001
415,-87.1968,[4.9791 -5.0185 ],[0.0000 -0.0001 ],0.0001,[-0.0019 0.0077 ],0.0079,0.0071,127,0.0001
416,-87.1968,[4.9791 -5.0185 ],[0.0000 0.0000 ],0.0000,[-0.0123 -0.0030 ],0.0126,0.0026,127,0.0001
417,-87.1968,[4.9792 -5.0185 ],[0.0000 -0.0001 ],0.0001,[-0.0021 0.0071 ],0.0074,0.0077,127,0.0001
418,-87.1968,[4.9792 -5.0186 ],[0.0000 0.0000 ],0.0000,[-0.0118 -0.0028 ],0.0121,0.0027,127,0.0001
419,-87.1968,[4.9792 -5.0186 ],[0.0000 -0.0001 ],0.0001,[-0.0017 0.0071 ],0.0073,0.0070,127,0.0001
420,-87.1968,[4.9792 -5.0186 ],[0.0000 0.0000 ],0.0000,[-0.0113 -0.0027 ],0.0116,0.0027,127,0.0001
421,-87.1968,[4.9793 -5.0186 ],[0.0000 -0.0000 ],0.0001,[-0.0017 0.0068 ],0.0070,0.0071,127,0.0001
422,-87.1968,[4.9793 -5.0187 ],[0.0000 0.0000 ],0.0000,[-0.0109 -0.0026 ],0.0112,0.0027,127,0.0001
423,-87.1968,[4.9793 -5.0187 ],[0.0000 -0.0000 ],0.0000,[-0.0016 0.0066 ],0.0068,0.0070,127,0.0001
424,-87.1968,[4.9793 -5.0187 ],[0.0000 0.0000 ],0.0000,[-0.0104 -0.0025 ],0.0107,0.0027,127,0.0001
425,-87.1968,[4.9793 -5.0187 ],[0.0000 -0.0000 ],0.0000,[-0.0015 0.0063 ],0.0065,0.0071,127,0.0001
426,-87.1968,[4.9793 -5.0187 ],[0.0000 0.0000 ],0.0000,[-0.0101 -0.0024 ],0.0104,0.0026,127,0.0001
427,-87.1968,[4.9794 -5.0187 ],[0.0000 -0.0000 ],0.0000,[-0.0017 0.0058 ],0.0061,0.0077,127,0.0001
428,-87.1968,[4.9794 -5.0188 ],[0.0000 0.0000 ],0.0000,[-0.0096 -0.0023 ],0.0099,0.0027,127,0.0001
429,-87.1968,[4.9794 -5.0188 ],[0.0000 -0.0000 ],0.0000,[-0.0014 0.0058 ],0.0060,0.0070,127,0.0001
430,-87.1968,[4.9794 -5.0188 ],[0.0000 0.0000 ],0.0000,[-0.0092 -0.0022 ],0.0095,0.0027,127,0.0001
431,-87.1968,[4.9794 -5.0188 ],[0.0000 -0.0000 ],0.0000,[-0.0014 0.0056 ],0.0058,0.0071,127,0.0001
432,-87.1968,[4.9795 -5.0189 ],[0.0000 0.0000 ],0.0000,[-0.0089 -0.0021 ],0.0092,0.0026,127,0.0001
433,-87.1968,[4.9795 -5.0188 ],[0.0000 -0.0000 ],0.0000,[-0.0015 0.0051 ],0.0054,0.0077,127,0.0001
434,-87.1968,[4.9795 -5.0189 ],[0.0000 0.0000 ],0.0000,[-0.0085 -0.0020 ],0.0088,0.0027,127,0.0001
435,-87.1968,[4.9795 -5.0189 ],[0.0000 -0.0000 ],0.0000,[-0.0012 0.0052 ],0.0053,0.0070,127,0.0001
436,-87.1968,[4.9795 -5.0189 ],[0.0000 0.0000 ],0.0000,[-0.0082 -0.0019 ],0.0084,0.0027,127,0.0001
437,-87.1968,[4.9795 -5.0189 ],[0.0000 -0.0000 ],0.0000,[-0.0012 0.0050 ],0.0051,0.0071,127,0.0001
438,-87.1968,[4.9796 -5.0189 ],[0.0000 0.0000 ],0.0000,[-0.0079 -0.0019 ],0.0081,0.0026,127,0.0001
439,-87.1968,[4.9796 -5.0189 ],[0.0000 -0.0000 ],0.0000,[-0.0014 0.0046 ],0.0048,0.0077,127,0.0001
440,-87.1968,[4.9796 -5.0190 ],[0.0000 0.0000 ],0.0000,[-0.0076 -0.0018 ],0.0078,0.0027,127,0.0001
441,-87.1968,[4.9796 -5.0190 ],[0.0000 -0.0000 ],0.0000,[-0.0011 0.0046 ],0.0047,0.0070,127,0.0001
442,-87.1968,[4.9796 -5.0190 ],[0.0000 0.0000 ],0.0000,[-0.0072 -0.0017 ],0.0074,0.0027,127,0.0001
443,-87.1968,[4.9796 -5.0190 ],[0.0000 -0.0000 ],0.0000,[-0.0011 0.0044 ],0.0045,0.0071,127,0.0001
444,-87.1968,[4.9796 -5.0190 ],[0.0000 0.0000 ],0.0000,[-0.0070 -0.0017 ],0.0072,0.0027,127,0.0001
445,-87.1968,[4.9797 -5.0190 ],[0.0000 -0.0000 ],0.0000,[-0.0010 0.0042 ],0.0044,0.0070,127,0.0001
446,-87.1968,[4.9797 -5.0191 ],[0.0000 0.0000 ],0.0000,[-0.0067 -0.0016 ],0.0069,0.0027,127,0.0001
447,-87.1968,[4.9797 -5.0191 ],[0.0000 -0.0000 ],0.0000,[-0.0010 0.0041 ],0.0042,0.0071,127,0.0001
448,-87.1968,[4.9797 -5.0191 ],[0.0000 0.0000 ],0.0000,[-0.0065 -0.0016 ],0.0067,0.0026,127,0.0001
449,-87.1968,[4.9797 -5.0191 ],[0.0000 -0.0000 ],0.0000,[-0.0011 0.0037 ],0.0039,0.0077,127,0.0001
450,-87.1968,[4.9797 -5.0191 ],[0.0000 0.0000 ],0.0000,[-0.0062 -0.0015 ],0.0064,0.0027,127,0.0001
451,-87.1968,[4.9797 -5.0191 ],[0.0000 -0.0000 ],0.0000,[-0.0009 0.0037 ],0.0039,0.0070,127,0.0001
452,-87.1968,[4.9797 -5.0191 ],[0.0000 0.0000 ],0.0000,[-0.0059 -0.0014 ],0.0061,0.0027,127,0.0001
453,-87.1968,[4.9798 -5.0191 ],[0.0000 -0.0000 ],0.0000,[-0.0009 0.0036 ],0.0037,0.0071,127,0.0001
454,-87.1968,[4.9798 -5.0191 ],[0.0000 0.0000 ],0.0000,[-0.0057 -0.0014 ],0.0059,0.0026,127,0.0001
455,-87.1968,[4.9798 -5.0191 ],[0.0000 -0.0000 ],0.0000,[-0.0010 0.0033 ],0.0035,0.0077,127,0.0001
456,-87.1968,[4.9798 -5.0192 ],[0.0000 0.0000 ],0.0000,[-0.0055 -0.0013 ],0.0056,0.0027,127,0.0001
457,-87.1968,[4.9798 -5.0192 ],[0.0000 -0.0000 ],0.0000,[-0.0008 0.0033 ],0.0034,0.0070,127,0.0001
458,-87.1968,[4.9798 -5.0192 ],[0.0000 0.0000 ],0.0000,[-0.0052 -0.0012 ],0.0054,0.0027,127,0.0001
459,-87.1968,[4.9798 -5.0192 ],[0.0000 -0.0000 ],0.0000,[-0.0008 0.0032 ],0.0033,0.0071,127,0.0001
460,-87.1968,[4.9798 -5.0192 ],[0.0000 0.0000 ],0.0000,[-0.0051 -0.0012 ],0.0052,0.0027,127,0.0001
461,-87.1968,[4.9798 -5.0192 ],[0.0000 -0.0000 ],0.0000,[-0.0007 0.0031 ],0.0032,0.0070,127,0.0001
462,-87.1968,[4.9798 -5.0192 ],[0.0000 0.0000 ],0.0000,[-0.0048 -0.0011 ],0.0050,0.0027,127,0.0001
463,-87.1968,[4.9799 -5.0192 ],[0.0000 -0.0000 ],0.0000,[-0.0007 0.0029 ],0.0030,0.0071,127,0.0001
464,-87.1968,[4.9799 -5.0192 ],[0.0000 0.0000 ],0.0000,[-0.0047 -0.0011 ],0.0048,0.0026,127,0.0001
465,-87.1968,[4.9799 -5.0192 ],[0.0000 -0.0000 ],0.0000,[-0.0008 0.0027 ],0.0028,0.0077,127,0.0001
466,-87.1968,[4.9799 -5.0193 ],[0.0000 0.0000 ],0.0000,[-0.0045 -0.0011 ],0.0046,0.0027,127,0.0001
467,-87.1968,[4.9799 -5.0193 ],[0.0000 -0.0000 ],0.0000,[-0.0007 0.0027 ],0.0028,0.0070,127,0.0001
468,-87.1968,[4.9799 -5.0193 ],[0.0000 0.0000 ],0.0000,[-0.0043 -0.0010 ],0.0044,0.0027,127,0.0001
469,-87.1968,[4.9799 -5.0193 ],[0.0000 -0.0000 ],0.0000,[-0.0006 0.0026 ],0.0027,0.0071,127,0.0001
470,-87.1968,[4.9799 -5.0193 ],[0.0000 0.0000 ],0.0000,[-0.0042 -0.0010 ],0.0043,0.0026,127,0.0001
471,-87.1968,[4.9799 -5.0193 ],[0.0000 -0.0000 ],0.0000,[-0.0007 0.0024 ],0.0025,0.0077,127,0.0001
472,-87.1968,[4.9799 -5.0193 ],[0.0000 0.0000 ],0.0000,[-0.0040 -0.0009 ],0.0041,0.0027,127,0.0001
473,-87.1968,[4.9799 -5.0193 ],[0.0000 -0.0000 ],0.0000,[-0.0006 0.0024 ],0.0025,0.0070,127,0.0001
474,-87.1968,[4.9799 -5.0193 ],[0.0000 0.0000 ],0.0000,[-0.0038 -0.0009 ],0.0039,0.0027,127,0.0001
475,-87.1968,[4.9800 -5.0193 ],[0.0000 -0.0000 ],0.0000,[-0.0006 0.0023 ],0.0024,0.0071,127,0.0001
476,-87.1968,[4.9800 -5.0193 ],[0.0000 0.0000 ],0.0000,[-0.0037 -0.0009 ],0.0038,0.0027,127,0.0001
477,-87.1968,[4.9800 -5.0193 ],[0.0000 -0.0000 ],0.0000,[-0.0005 0.0022 ],0.0023,0.0070,127,0.0001
478,-87.1968,[4.9800 -5.0194 ],[0.0000 0.0000 ],0.0000,[-0.0035 -0.0008 ],0.0036,0.0027,127,0.0001
479,-87.1968,[4.9800 -5.0194 ],[0.0000 -0.0000 ],0.0000,[-0.0005 0.0021 ],0.0022,0.0071,127,0.0001
480,-87.1968,[4.9800 -5.0194 ],[0.0000 0.0000 ],0.0000,[-0.0034 -0.0008 ],0.0035,0.0026,127,0.0001
481,-87.1968,[4.9800 -5.0194 ],[0.0000 -0.0000 ],0.0000,[-0.0006 0.0020 ],0.0021,0.0077,127,0.0001
482,-87.1969,[4.9800 -5.0194 ],[0.0000 0.0000 ],0.0000,[-0.0033 -0.0008 ],0.0033,0.0027,127,0.0001
483,-87.1969,[4.9800 -5.0194 ],[0.0000 -0.0000 ],0.0000,[-0.0005 0.0020 ],0.0020,0.0070,127,0.0001
484,-87.1969,[4.9800 -5.0194 ],[0.0000 0.0000 ],0.0000,[-0.0031 -0.0007 ],0.0032,0.0027,127,0.0001
485,-87.1969,[4.9800 -5.0194 ],[0.0000 -0.0000 ],0.0000,[-0.0005 0.0019 ],0.0019,0.0071,127,0.0001
486,-87.1969,[4.9800 -5.0194 ],[0.0000 0.0000 ],0.0000,[-0.0030 -0.0007 ],0.0031,0.0026,127,0.0001
487,-87.1969,[4.9800 -5.0194 ],[0.0000 -0.0000 ],0.0000,[-0.0005 0.0017 ],0.0018,0.0077,127,0.0001
488,-87.1969,[4.9800 -5.0194 ],[0.0000 0.0000 ],0.0000,[-0.0029 -0.0007 ],0.0030,0.0027,127,0.0001
489,-87.1969,[4.9800 -5.0194 ],[0.0000 -0.0000 ],0.0000,[-0.0004 0.0017 ],0.0018,0.0070,127,0.0001
490,-87.1969,[4.9800 -5.0194 ],[0.0000 0.0000 ],0.0000,[-0.0028 -0.0006 ],0.0028,0.0027,127,0.0001
491,-87.1969,[4.9801 -5.0194 ],[0.0000 -0.0000 ],0.0000,[-0.0004 0.0017 ],0.0017,0.0071,127,0.0001
492,-87.1969,[4.9801 -5.0194 ],[0.0000 0.0000 ],0.0000,[-0.0027 -0.0006 ],0.0027,0.0027,127,0.0001
493,-87.1969,[4.9801 -5.0194 ],[0.0000 -0.0000 ],0.0000,[-0.0004 0.0016 ],0.0017,0.0070,127,0.0001
494,-87.1969,[4.9801 -5.0194 ],[0.0000 0.0000 ],0.0000,[-0.0026 -0.0006 ],0.0026,0.0027,127,0.0001
495,-87.1969,[4.9801 -5.0194 ],[0.0000 -0.0000 ],0.0000,[-0.0004 0.0015 ],0.0016,0.0071,127,0.0001
496,-87.1969,[4.9801 -5.0195 ],[0.0000 0.0000 ],0.0000,[-0.0025 -0.0006 ],0.0025,0.0026,127,0.0001
497,-87.1969,[4.9801 -5.0195 ],[0.0000 -0.0000 ],0.0000,[-0.0004 0.0014 ],0.0015,0.0077,127,0.0001
498,-87.1969,[4.9801 -5.0195 ],[0.0000 0.0000 ],0.0000,[-0.0024 -0.0006 ],0.0024,0.0027,127,0.0001
499,-87.1969,[4.9801 -5.0195 ],[0.0000 -0.0000 ],0.0000,[-0.0003 0.0014 ],0.0015,0.0070,127,0.0001
500,-87.1969,[4.9801 -5.0195 ],[0.0000 0.0000 ],0.0000,[-0.0023 -0.0005 ],0.0023,0.0027,127,0.0001
501,-87.1969,[4.9801 -5.0195 ],[0.0000 -0.0000 ],0.0000,[-0.0003 0.0014 ],0.0014,0.0071,127,0.0001
502,-87.1969,[4.9801 -5.0195 ],[0.0000 0.0000 ],0.0000,[-0.0022 -0.0005 ],0.0022,0.0026,127,0.0001
503,-87.1969,[4.9801 -5.0195 ],[0.0000 -0.0000 ],0.0000,[-0.0004 0.0013 ],0.0013,0.0077,127,0.0001
504,-87.1969,[4.9801 -5.0195 ],[0.0000 0.0000 ],0.0000,[-0.0021 -0.0005 ],0.0021,0.0027,127,0.0001
505,-87.1969,[4.9801 -5.0195 ],[0.0000 -0.0000 ],0.0000,[-0.0003 0.0013 ],0.0013,0.0070,127,0.0001
506,-87.1969,[4.9801 -5.0195 ],[0.0000 0.0000 ],0.0000,[-0.0020 -0.0005 ],0.0021,0.0027,127,0.0001
507,-87.1969,[4.9801 -5.0195 ],[0.0000 -0.0000 ],0.0000,[-0.0003 0.0012 ],0.0012,0.0071,127,0.0001
508,-87.1969,[4.9801 -5.0195 ],[0.0000 0.0000 ],0.0000,[-0.0019 -0.0005 ],0.0020,0.0027,127,0.0001
509,-87.1969,[4.9801 -5.0195 ],[0.0000 -0.0000 ],0.0000,[-0.0003 0.0012 ],0.0012,0.0070,127,0.0001
510,-87.1969,[4.9801 -5.0195 ],[0.0000 0.0000 ],0.0000,[-0.0018 -0.0004 ],0.0019,0.0027,127,0.0001
511,-87.1969,[4.9801 -5.0195 ],[0.0000 -0.0000 ],0.0000,[-0.0003 0.0011 ],0.0012,0.0071,127,0.0001
512,-87.1969,[4.9801 -5.0195 ],[0.0000 0.0000 ],0.0000,[-0.0018 -0.0004 ],0.0018,0.0027,127,0.0001
513,-87.1969,[4.9801 -5.0195 ],[0.0000 -0.0000 ],0.0000,[-0.0003 0.0011 ],0.0011,0.0069,127,0.0001
514,-87.1969,[4.9801 -5.0195 ],[0.0000 0.0000 ],0.0000,[-0.0017 -0.0004 ],0.0017,0.0027,127,0.0001
515,-87.1969,[4.9802 -5.0195 ],[0.0000 -0.0000 ],0.0000,[-0.0003 0.0010 ],0.0011,0.0073,127,0.0001
516,-87.1969,[4.9802 -5.0195 ],[0.0000 0.0000 ],0.0000,[-0.0017 -0.0004 ],0.0017,0.0026,127,0.0001
517,-87.1969,[4.9802 -5.0195 ],[0.0000 -0.0000 ],0.0000,[-0.0003 0.0010 ],0.0010,0.0077,127,0.0001
518,-87.1969,[4.9802 -5.0195 ],[0.0000 0.0000 ],0.0000,[-0.0016 -0.0004 ],0.0016,0.0026,127,0.0001
519,-87.1969,[4.9802 -5.0195 ],[0.0000 -0.0000 ],0.0000,[-0.0003 0.0009 ],0.0010,0.0077,127,0.0001
520,-87.1969,[4.9802 -5.0195 ],[0.0000 0.0000 ],0.0000,[-0.0015 -0.0004 ],0.0016,0.0026,127,0.0001
521,-87.1969,[4.9802 -5.0195 ],[0.0000 -0.0000 ],0.0000,[-0.0003 0.0009 ],0.0009,0.0077,127,0.0001
522,-87.1969,[4.9802 -5.0195 ],[0.0000 0.0000 ],0.0000,[-0.0015 -0.0004 ],0.0015,0.0026,127,0.0001
523,-87.1969,[4.9802 -5.0195 ],[0.0000 -0.0000 ],0.0000,[-0.0002 0.0008 ],0.0009,0.0077,127,0.0001
524,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0014 -0.0003 ],0.0014,0.0026,127,0.0001
525,-87.1969,[4.9802 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0002 0.0008 ],0.0008,0.0077,127,0.0001
526,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0013 -0.0003 ],0.0014,0.0026,127,0.0001
527,-87.1969,[4.9802 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0002 0.0008 ],0.0008,0.0077,127,0.0001
528,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0013 -0.0003 ],0.0013,0.0027,127,0.0001
529,-87.1969,[4.9802 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0002 0.0008 ],0.0008,0.0069,127,0.0001
530,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0012 -0.0003 ],0.0012,0.0027,127,0.0001
531,-87.1969,[4.9802 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0002 0.0007 ],0.0008,0.0072,127,0.0001
532,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0012 -0.0003 ],0.0012,0.0026,127,0.0001
533,-87.1969,[4.9802 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0002 0.0007 ],0.0007,0.0077,127,0.0001
534,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0011 -0.0003 ],0.0012,0.0027,127,0.0001
535,-87.1969,[4.9802 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0002 0.0007 ],0.0007,0.0070,127,0.0001
536,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0011 -0.0003 ],0.0011,0.0027,127,0.0001
537,-87.1969,[4.9802 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0002 0.0007 ],0.0007,0.0072,127,0.0001
538,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0011 -0.0003 ],0.0011,0.0026,127,0.0001
539,-87.1969,[4.9802 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0002 0.0006 ],0.0006,0.0077,127,0.0001
540,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0010 -0.0003 ],0.0010,0.0026,127,0.0001
541,-87.1969,[4.9802 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0002 0.0006 ],0.0006,0.0077,127,0.0001
542,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0010 -0.0002 ],0.0010,0.0026,127,0.0001
543,-87.1969,[4.9802 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0002 0.0006 ],0.0006,0.0077,127,0.0001
544,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0009 -0.0002 ],0.0010,0.0026,127,0.0001
545,-87.1969,[4.9802 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0002 0.0005 ],0.0006,0.0077,127,0.0001
546,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0009 -0.0002 ],0.0009,0.0026,127,0.0001
547,-87.1969,[4.9802 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0002 0.0005 ],0.0005,0.0077,127,0.0001
548,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0009 -0.0002 ],0.0009,0.0027,127,0.0001
549,-87.1969,[4.9802 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0001 0.0005 ],0.0005,0.0070,127,0.0001
550,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0008 -0.0002 ],0.0008,0.0027,127,0.0001
551,-87.1969,[4.9802 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0001 0.0005 ],0.0005,0.0071,127,0.0001
552,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0008 -0.0002 ],0.0008,0.0026,127,0.0001
553,-87.1969,[4.9802 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0001 0.0005 ],0.0005,0.0077,127,0.0001
554,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0008 -0.0002 ],0.0008,0.0026,127,0.0001
555,-87.1969,[4.9802 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0001 0.0004 ],0.0005,0.0077,127,0.0001
556,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0007 -0.0002 ],0.0007,0.0026,127,0.0001
557,-87.1969,[4.9802 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0001 0.0004 ],0.0004,0.0077,127,0.0001
558,-87.1969,[4.9802 -5.0196 ],[0.0000 0.0000 ],0.0000,[-0.0007 -0.0002 ],0.0007,0.0027,127,0.0001
559,-87.1969,[4.9803 -5.0196 ],[0.0000 -0.0000 ],0.0000,[-0.0001 0.0004 ],0.0004,0.0071,127,0.0001
